2025-05-28 09:12:20.346522+0000	INFO	             env/logging.go:42	=====================> Service started SCION Daemon sd4-ff00_0_410
  Scion version: 

  pid:           188710
  euid/egid:     1000 1000
  cmd line:      ["bin/daemon" "--config" "gen/ASff00_0_410/sd.toml"]

2025-05-28 09:12:20.348497+0000	INFO	        storage/storage.go:201	Connecting PathDB	{"backend": "sqlite", "connection": "gen-cache/sd4-ff00_0_410.path.db"}
2025-05-28 09:12:20.431849+0000	INFO	      periodic/periodic.go:136	Starting periodic task	{"debug_id": "6d8c4dfe", "task": "control_pathstorage_cleaner_cleaner"}
2025-05-28 09:12:20.431953+0000	INFO	      periodic/periodic.go:136	Starting periodic task	{"debug_id": "cba24879", "task": "sd_segments_cleaner"}
2025-05-28 09:12:20.431991+0000	INFO	      periodic/periodic.go:136	Starting periodic task	{"debug_id": "a900ddf1", "task": "sd_revocation_cleaner"}
2025-05-28 09:12:20.432002+0000	INFO	        storage/storage.go:244	Connecting TrustDB	{"backend": "sqlite", "connection": "gen-cache/sd4-ff00_0_410.trust.db"}
2025-05-28 09:12:20.514529+0000	INFO	           daemon/daemon.go:69	TRCs loaded	{"files": ["gen/ASff00_0_410/certs/ISD1-B1-S1.trc", "gen/ASff00_0_410/certs/ISD2-B1-S1.trc", "gen/ASff00_0_410/certs/ISD3-B1-S1.trc", "gen/ASff00_0_410/certs/ISD4-B1-S1.trc", "gen/ASff00_0_410/certs/ISD5-B1-S1.trc"]}
2025-05-28 09:12:20.514607+0000	INFO	           daemon/daemon.go:82	Certificate chains loaded	{"files": []}
2025-05-28 09:12:20.514644+0000	INFO	      periodic/periodic.go:136	Starting periodic task	{"debug_id": "37abade5", "task": "daemon_trc_loader"}
2025-05-28 09:12:20.515186+0000	INFO	            daemon/main.go:323	Exposing API	{"addr": "127.0.0.124:30955"}
2025-05-28 09:12:20.515443+0000	INFO	                env/env.go:201	Exporting prometheus metrics	{"addr": "127.0.0.124:30455"}
2025-05-28 09:14:19.927045+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "b4da7a66", "trace_id": "78269ace90d79e77", "method": "/proto.daemon.v1.DaemonService/AS"}
